CustomerID,Recency,Frequency,Monetary,UniqueProducts,AverageOrderValue,UniquePurchaseDays,CustomerLifespan,OrdersLast30Days,Target
12346.0,295,1,77183.6,1,77183.6,1,0,0,0
12347.0,9,6,4085.1800000000003,100,680.8633333333333,6,327,1,1
12348.0,44,4,1797.24,22,449.31,4,282,0,0
12350.0,279,1,334.4,17,334.4,1,0,0,0
12352.0,5,8,2506.04,59,313.255,7,260,1,0
12353.0,173,1,89.0,4,89.0,1,0,0,0
12354.0,201,1,1079.4,58,1079.4,1,0,0,0
12355.0,183,1,459.4,13,459.4,1,0,0,0
12356.0,215,2,2753.08,53,1376.54,2,80,0,1
12357.0,2,1,6207.67,131,6207.67,1,0,1,0
12358.0,120,1,484.86,12,484.86,1,0,0,1
12359.0,27,4,6372.58,214,1593.145,4,274,1,0
12360.0,21,3,2662.06,105,887.3533333333334,3,148,1,0
12361.0,256,1,189.9,10,189.9,1,0,0,0
12362.0,5,9,4697.19,183,521.91,9,259,4,1
12363.0,79,2,552.0,23,276.0,2,132,0,0
12364.0,9,3,1002.78,47,334.26,3,72,1,1
12365.0,260,2,641.38,22,320.69,1,0,0,0
12370.0,20,4,3545.69,143,886.4225,4,309,1,0
12371.0,14,2,1887.96,63,943.98,2,14,2,0
12372.0,41,3,1298.04,34,432.68,3,224,0,0
12373.0,280,1,364.6,14,364.6,1,0,0,0
12375.0,67,1,230.3,11,230.3,1,0,0,1
12377.0,284,2,1628.12,72,814.06,2,39,0,0
12378.0,99,1,4008.62,219,4008.62,1,0,0,0
12379.0,51,2,852.24,39,426.12,2,88,0,0
12380.0,26,3,1684.42,70,561.4733333333334,3,129,1,1
12381.0,2,4,1698.3,67,424.575,4,86,3,1
12383.0,154,5,1850.56,84,370.11199999999997,5,167,0,0
12384.0,91,1,292.69,14,292.69,1,0,0,1
12386.0,307,2,401.9,10,200.95,2,29,0,0
12388.0,45,5,2494.26,56,498.85200000000003,5,251,0,1
12390.0,49,1,549.84,32,549.84,1,0,0,0
12393.0,41,4,1582.6000000000001,47,395.65000000000003,4,260,0,0
12394.0,33,2,1272.48,26,636.24,2,153,0,0
12395.0,0,11,2752.8,89,250.25454545454548,10,339,2,1
12397.0,5,2,2409.9,110,1204.95,2,99,1,0
12398.0,15,1,1635.6599999999999,85,1635.6599999999999,1,0,1,0
12399.0,88,4,1108.65,47,277.1625,4,142,0,0
12401.0,272,1,84.3,5,84.3,1,0,0,0
12402.0,292,1,225.6,11,225.6,1,0,0,0
12403.0,19,1,427.7,5,427.7,1,0,1,0
12405.0,118,1,1710.39,54,1710.39,1,0,0,0
12406.0,153,1,1621.25,48,1621.25,1,0,0,1
12407.0,19,5,1708.1200000000001,57,341.624,5,214,1,0
12408.0,2,5,2888.55,81,577.71,4,227,1,0
12409.0,48,3,11072.67,91,3690.89,3,103,0,0
12410.0,278,2,693.3299999999999,26,346.66499999999996,1,0,0,0
12412.0,44,3,1226.88,43,408.96000000000004,3,94,0,0
12413.0,36,3,758.1,29,252.70000000000002,3,270,0,0
12414.0,186,3,562.41,16,187.47,3,93,0,0
12415.0,6,19,119559.13,434,6292.585789473685,15,301,2,1
12417.0,8,8,3279.37,150,409.92125,8,318,1,1
12418.0,82,1,668.58,34,668.58,1,0,0,0
12420.0,33,1,600.39,29,600.39,1,0,0,0
12421.0,84,3,628.56,25,209.51999999999998,3,204,0,1
12422.0,65,3,803.5600000000001,39,267.85333333333335,3,229,0,0
12423.0,70,7,1650.67,86,235.81,7,252,0,1
12424.0,132,2,1760.96,30,880.48,1,0,0,0
12425.0,47,1,777.2,36,777.2,1,0,0,0
12426.0,164,1,582.73,30,582.73,1,0,0,0
12427.0,29,2,586.08,24,293.04,2,311,1,1
12428.0,89,8,7548.12,252,943.515,6,163,0,1
12429.0,142,3,2844.88,62,948.2933333333334,3,193,0,1
12430.0,12,1,256.4,11,256.4,1,0,1,0
12431.0,5,15,6487.45,163,432.49666666666667,14,338,2,0
12432.0,12,5,5059.32,107,1011.8639999999999,3,129,2,0
12433.0,12,4,7893.89,197,1973.4725,4,330,1,1
12434.0,54,2,806.14,46,403.07,2,175,0,0
12435.0,49,2,7829.89,31,3914.945,2,188,0,0
12436.0,69,1,509.01,16,509.01,1,0,0,0
12437.0,5,15,4294.5,109,286.3,12,294,3,1
12438.0,109,1,890.0699999999999,49,890.0699999999999,1,0,0,1
12441.0,336,1,173.55,11,173.55,1,0,0,0
12444.0,28,4,4068.82,113,1017.205,4,112,1,1
12446.0,27,1,1002.3100000000001,58,1002.3100000000001,1,0,1,0
12447.0,212,1,476.49,26,476.49,1,0,0,0
12448.0,13,1,449.45,22,449.45,1,0,1,0
12449.0,61,3,2724.58,84,908.1933333333333,3,95,0,1
12450.0,125,2,197.88,7,98.94,2,17,0,0
12451.0,34,3,7847.38,221,2615.7933333333335,3,259,0,1
12453.0,103,1,707.09,43,707.09,1,0,0,0
12454.0,25,1,3528.34,15,3528.34,1,0,1,0
12455.0,42,6,2466.86,85,411.1433333333334,6,223,0,0
12456.0,13,3,3181.04,105,1060.3466666666666,3,210,1,0
12457.0,35,7,2363.23,53,337.6042857142857,7,172,0,0
12458.0,40,2,947.4,35,473.7,2,213,0,0
12461.0,63,2,826.88,35,413.44,2,60,0,0
12462.0,272,1,762.11,40,762.11,1,0,0,1
12463.0,22,4,1344.78,65,336.195,4,188,1,0
12464.0,75,6,780.55,6,130.09166666666667,5,203,0,1
12465.0,138,1,440.94,26,440.94,1,0,0,1
12468.0,157,2,729.5400000000001,36,364.77000000000004,2,128,0,0
12471.0,6,24,14891.26,134,620.4691666666666,16,328,1,1
12472.0,1,7,6572.11,219,938.8728571428571,7,336,2,0
12473.0,23,3,2884.23,139,961.41,3,138,1,1
12474.0,19,16,6197.06,217,387.31625,15,279,3,1
12475.0,23,1,723.38,36,723.38,1,0,1,0
12476.0,15,9,4822.43,122,535.8255555555556,8,315,2,1
12477.0,25,5,11182.05,181,2236.41,5,245,1,1
12480.0,112,3,2144.95,97,714.9833333333332,3,192,0,1
12481.0,35,9,5409.5199999999995,142,601.0577777777777,7,299,0,1
12483.0,10,7,2078.26,46,296.89428571428573,7,298,1,1
12484.0,2,6,4541.72,256,756.9533333333334,6,303,2,0
12488.0,9,2,767.45,26,383.725,2,36,1,1
12489.0,305,1,334.93,15,334.93,1,0,0,0
12490.0,6,7,4186.03,110,598.0042857142856,7,292,1,1
12491.0,8,1,460.40000000000003,25,460.40000000000003,1,0,1,0
12492.0,32,2,263.21000000000004,19,131.60500000000002,2,42,0,0
12493.0,135,2,433.74,20,216.87,2,31,0,0
12494.0,9,6,1083.6000000000001,56,180.60000000000002,6,325,1,1
12497.0,51,1,1043.1,14,1043.1,1,0,0,0
12498.0,27,1,247.25,13,247.25,1,0,1,1
12500.0,19,10,3640.78,34,364.07800000000003,9,284,3,1
12501.0,306,1,2169.39,149,2169.39,1,0,0,0
12502.0,65,5,3723.87,102,744.774,5,214,0,0
12506.0,202,1,73.5,23,73.5,1,0,0,0
12507.0,103,3,1304.81,19,434.93666666666667,3,164,0,0
12509.0,253,1,176.5,7,176.5,1,0,0,0
12510.0,112,2,982.5699999999999,29,491.28499999999997,2,182,0,0
12512.0,35,2,138.03,31,69.015,1,0,0,0
12513.0,82,1,612.29,35,612.29,1,0,0,0
12514.0,236,1,1017.68,51,1017.68,1,0,0,0
12515.0,322,1,383.7,16,383.7,1,0,0,0
12516.0,47,2,1312.06,20,656.03,2,102,0,0
12517.0,43,3,1955.9,181,651.9666666666667,3,116,0,1
12518.0,28,3,1230.79,60,410.2633333333333,3,51,1,1
12519.0,33,1,340.84,17,340.84,1,0,0,0
12520.0,48,5,2634.26,121,526.8520000000001,5,194,0,0
12521.0,112,1,599.68,38,599.68,1,0,0,0
12522.0,8,2,192.72,11,96.36,2,12,2,0
12523.0,13,10,1527.35,74,152.73499999999999,10,287,1,1
12524.0,33,7,4177.92,111,596.8457142857143,7,270,0,1
12526.0,23,2,1039.58,54,519.79,2,40,1,1
12527.0,51,3,348.71000000000004,18,116.23666666666668,3,243,0,0
12528.0,33,5,1561.88,47,312.37600000000003,5,249,0,1
12530.0,29,4,1662.28,51,415.57,4,277,1,0
12534.0,100,1,1089.18,63,1089.18,1,0,0,0
12535.0,61,2,716.35,28,358.175,2,94,0,0
12536.0,12,3,12601.830000000002,260,4200.610000000001,2,15,3,0
12539.0,231,3,4517.69,125,1505.8966666666665,3,71,0,1
12540.0,0,16,12511.97,270,781.998125,16,330,2,1
12541.0,142,2,536.14,27,268.07,2,107,0,1
12544.0,5,1,372.7,19,372.7,1,0,1,0
12545.0,44,2,1000.39,42,500.195,2,184,0,0
